variant,side,gate,rsi_n,th,exit,period,N,Win,AvgPct,PF,Hold,Stops,CAR,MaxDD,Sharpe,CapUsed,CorrSPY
L-sma200-rsi2<10-sma5,L,sma200,2,10,sma5,IS,1859,0.64228079612695,0.0016466209162767564,1.123102510260196,4.955890263582571,0.1258741258741259,0.027004987805854475,-0.240896164506466,0.24438458551694833,0.5720899470899471,0.6702937636656453
L-sma200-rsi2<10-sma5,L,sma200,2,10,sma5,OOS,2637,0.658323852863102,0.006275416136672726,1.5899618751142983,5.199848312476298,0.07773985589685248,0.2648255929063419,-0.19790366478839894,1.3953750253389177,0.6360089186176142,0.6236012666236199
L-sma200-rsi2<10-rsi,L,sma200,2,10,rsi,IS,1802,0.6514983351831298,0.002936127177007391,1.1938959444640322,6.283573806881243,0.15704772475027748,0.04661216896791176,-0.22642905069454344,0.35151563265704555,0.5588624338624338,0.669911458364023
L-sma200-rsi2<10-rsi,L,sma200,2,10,rsi,OOS,2551,0.679733437867503,0.006788354090164632,1.5373035665456924,6.53234025872207,0.10544884359074873,0.26977568876290303,-0.2504656567438337,1.4362359262858124,0.6975473801560758,0.668126912219945
L-sma200-rsi2<10-chan,L,sma200,2,10,chan,IS,1660,0.5704819277108434,0.0005639622763935217,1.0256024917321238,9.980120481927711,0.21325301204819277,0.05559755700747626,-0.24756404698536416,0.3812998861396808,0.6980158730158731,0.7435394050618197
L-sma200-rsi2<10-chan,L,sma200,2,10,chan,OOS,2374,0.6107834877843302,0.009567077736164343,1.5546420657355813,10.255265374894693,0.14658803706823925,0.2241436645923549,-0.2739244247012481,1.2470447249924406,0.8318840579710145,0.7021311036510245
L-sma200-rsi2<10-sma5+choch,L,sma200,2,10,sma5+choch,IS,1956,0.6099182004089979,0.0013022770447261897,1.10753048311902,4.205521472392638,0.09662576687116564,0.026922178742031955,-0.17949745166340314,0.25846380163061494,0.5518518518518519,0.6174368245412567
L-sma200-rsi2<10-sma5+choch,L,sma200,2,10,sma5+choch,OOS,2809,0.6222855108579566,0.0051535795817577446,1.535110182525225,4.325382698469206,0.060519757920968316,0.2567602265901592,-0.1397377930519056,1.4511890857580678,0.6149386845039018,0.6273998172353561
L-sma200-rsi2<10-time5,L,sma200,2,10,time5,IS,1873,0.5200213561131874,0.0011320832006618791,1.0704184226244466,6.845168179391351,0.09450080085424453,-0.03138452200148889,-0.25587596341586905,-0.07796544076824172,0.6695767195767195,0.7316924589835103
L-sma200-rsi2<10-time5,L,sma200,2,10,time5,OOS,2648,0.5694864048338368,0.007745499158922599,1.5615197130085774,7.055513595166163,0.060045317220543806,0.19808128782685785,-0.2894979920838858,1.106540247699153,0.7573021181716834,0.6865946058466639
L-sma200-rsi2<15-sma5,L,sma200,2,15,sma5,IS,2649,0.6508116270290676,0.0024851718355574275,1.1965348170202539,4.952812382030955,0.1143827859569649,0.041551081923010935,-0.23188958729327502,0.31799439021186904,0.6104497354497355,0.6490928367962675
L-sma200-rsi2<15-sma5,L,sma200,2,15,sma5,OOS,3700,0.6483783783783784,0.005146416076156802,1.470622816470177,5.174594594594595,0.07594594594594595,0.1769490117862853,-0.1812790020571584,0.9882134152136713,0.7613154960981048,0.6270099938750957
