variant,side,gate,rsi_n,th,exit,period,N,Win,AvgPct,PF,Hold,Stops,CAR,MaxDD,Sharpe,CapUsed,CorrSPY
S-spyregime-rsi2<10-rsi,S,spyregime,2,10,rsi,IS,785,0.6356687898089172,0.0061273749333823945,1.326964942770777,6.942675159235669,0.09044585987261146,0.0044772262807792895,-0.16639153187266598,0.09722467312703506,0.18730158730158733,-0.4713689949932397
S-spyregime-rsi2<10-rsi,S,spyregime,2,10,rsi,OOS,155,0.4064516129032258,-0.029849674771817096,0.24095695879871476,8.703225806451613,0.23225806451612904,-0.06755751753547179,-0.22126805805290584,-1.6259938177419953,0.06555183946488295,-0.2573960544278172
S-spyregime-rsi2<10-chan,S,spyregime,2,10,chan,IS,721,0.5409153952843273,0.0016680656028165125,1.0592440536941146,10.988904299583911,0.11095700416088766,-0.02096293023052176,-0.15098568199805884,-0.0852593459026585,0.23505291005291004,-0.543233394824848
S-spyregime-rsi2<10-chan,S,spyregime,2,10,chan,OOS,148,0.30405405405405406,-0.03652295841955657,0.2214615047976235,11.175675675675675,0.24324324324324326,-0.06697379635968836,-0.21939047487905539,-1.3888720380436779,0.07235228539576366,-0.30734937694119324
S-spyregime-rsi2<10-sma5+choch,S,spyregime,2,10,sma5+choch,IS,872,0.5997706422018348,0.004372948166605729,1.3275436162017646,4.458715596330276,0.051605504587155966,-0.01042564001161339,-0.17880897412271057,-0.033027872400834005,0.16124338624338624,-0.4348472948790205
S-spyregime-rsi2<10-sma5+choch,S,spyregime,2,10,sma5+choch,OOS,170,0.4,-0.021717066551659402,0.2578107154377818,6.3,0.15294117647058825,-0.06827815951569494,-0.2234162542869893,-1.6853680565523361,0.05629877369007804,-0.2540508129474088
S-spyregime-rsi2<10-time5,S,spyregime,2,10,time5,IS,823,0.5370595382746051,0.008513491731730946,1.4834418810950392,7.071688942891859,0.041312272174969626,0.05244338950605232,-0.14144989027370536,0.45109571648589497,0.20674603174603176,-0.5014990985698291
S-spyregime-rsi2<10-time5,S,spyregime,2,10,time5,OOS,170,0.2647058823529412,-0.029700806827135516,0.18188421982666253,6.970588235294118,0.07647058823529412,-0.08723736875179156,-0.2782899461113242,-1.6890268805503466,0.06499442586399108,-0.26403657324660995
S-spyregime-rsi2<15-sma5,S,spyregime,2,15,sma5,IS,1144,0.6276223776223776,0.0026825336620562973,1.1624094588542697,5.5576923076923075,0.07954545454545454,-0.06396978316185331,-0.27189216627292623,-0.45037426825171206,0.19656084656084655,-0.48221949748879733
S-spyregime-rsi2<15-sma5,S,spyregime,2,15,sma5,OOS,251,0.40239043824701193,-0.024701739494645894,0.26225322334500234,6.7370517928286855,0.17928286852589642,-0.08218529573169608,-0.26329814780975935,-1.259373070154895,0.07603121516164994,-0.32690431682638194
S-spyregime-rsi2<15-rsi,S,spyregime,2,15,rsi,IS,1087,0.6320147194112236,0.0017011082670569022,1.080648920613229,7.050597976080957,0.10211591536338546,-0.049781285749451065,-0.24204993372570438,-0.3137715633154618,0.2167989417989418,-0.5020087660409108
S-spyregime-rsi2<15-rsi,S,spyregime,2,15,rsi,OOS,231,0.3939393939393939,-0.027815885401724406,0.26635950444024065,8.363636363636363,0.22077922077922077,-0.0732696109151959,-0.23740811180315113,-1.156503673190172,0.07803790412486064,-0.3454226085341659
S-spyregime-rsi2<15-chan,S,spyregime,2,15,chan,IS,956,0.5125523012552301,-0.004282915293411629,0.8643875945675333,11.23744769874477,0.12343096234309624,-0.07974719837707,-0.2939552943070828,-0.46533425808091694,0.2585978835978836,-0.5635681010970033
S-spyregime-rsi2<15-chan,S,spyregime,2,15,chan,OOS,214,0.3177570093457944,-0.03539570155181581,0.25401961406366064,11.214953271028037,0.2336448598130841,-0.09824424589867065,-0.3089055228378481,-1.311274355278517,0.09498327759197323,-0.39448163323588437
S-spyregime-rsi2<15-sma5+choch,S,spyregime,2,15,sma5+choch,IS,1254,0.5725677830940988,0.0010013463664229833,1.0655403469195208,4.509569377990431,0.05661881977671451,-0.06593568549616602,-0.2816270616723726,-0.4654906392703257,0.1896825396825397,-0.46714158869601347
S-spyregime-rsi2<15-sma5+choch,S,spyregime,2,15,sma5+choch,OOS,264,0.4166666666666667,-0.020295854885821977,0.2876848214350173,5.757575757575758,0.14015151515151514,-0.07467668629457791,-0.24153695122277163,-1.2469953906980678,0.07168338907469342,-0.33553295023636537
S-spyregime-rsi2<15-time5,S,spyregime,2,15,time5,IS,1145,0.5222707423580786,0.005887683242583134,1.3128860485509324,7.1039301310043665,0.03668122270742358,-0.01938793318856613,-0.18783056968965184,-0.06602136758415861,0.23201058201058203,-0.5306335130599527
S-spyregime-rsi2<15-time5,S,spyregime,2,15,time5,OOS,252,0.29365079365079366,-0.02797065951807071,0.22066358504201947,6.920634920634921,0.0873015873015873,-0.07386554609157414,-0.2520877134402897,-1.2044483608503627,0.0762541806020067,-0.4291166250804078
S-spyregime-rsi3<5-sma5,S,spyregime,3,5,sma5,IS,59,0.7288135593220338,0.01545168299930481,2.857960871145505,5.254237288135593,0.03389830508474576,0.022977618265974886,-0.02242082355098285,0.6977989580437369,0.027116402116402122,-0.14740668013519576
S-spyregime-rsi3<5-sma5,S,spyregime,3,5,sma5,OOS,19,0.631578947368421,-0.005079497746059603,0.717282948354727,6.2631578947368425,0.10526315789473684,-0.002750996620153212,-0.024543432597354475,-0.25054514419780577,0.00903010033444816,-0.10942038708575078
S-spyregime-rsi3<5-rsi,S,spyregime,3,5,rsi,IS,58,0.6206896551724138,0.0029052897874691868,1.1260695484170304,9.241379310344827,0.06896551724137931,0.0045083211258032385,-0.0691079329061206,0.12025954156507877,0.04298941798941799,-0.21379045711411956
S-spyregime-rsi3<5-rsi,S,spyregime,3,5,rsi,OOS,19,0.3684210526315789,-0.04372624035812478,0.22162920558827273,10.526315789473685,0.42105263157894735,-0.023370940009205143,-0.08105097204979761,-0.893312598563145,0.015050167224080268,-0.13328768768381374
S-spyregime-rsi3<5-chan,S,spyregime,3,5,chan,IS,58,0.603448275862069,0.010283927495327633,1.5518612157867697,8.10344827586207,0.05172413793103448,0.01666865303975018,-0.06023643609415297,0.40270675005394113,0.03835978835978836,-0.19808024042593972
S-spyregime-rsi3<5-chan,S,spyregime,3,5,chan,OOS,19,0.42105263157894735,-0.028396059798602824,0.31753197067724837,8.947368421052632,0.2631578947368421,-0.015231623170267605,-0.05336312948668975,-0.7118435370192873,0.013043478260869565,-0.14516788292555152
S-spyregime-rsi3<5-sma5+choch,S,spyregime,3,5,sma5+choch,IS,60,0.75,0.012973633259057104,2.692454506057627,4.533333333333333,0.03333333333333333,0.018833699094578993,-0.02242082355098285,0.6084229013638973,0.023280423280423283,-0.1437468002900952
S-spyregime-rsi3<5-sma5+choch,S,spyregime,3,5,sma5+choch,OOS,19,0.7368421052631579,-0.00019263549483746088,0.9855504960166431,5.2105263157894735,0.10526315789473684,-0.00014794878803980893,-0.01560311056534669,-0.011653996182554631,0.007469342251950947,-0.07730379581002603
S-spyregime-rsi3<5-time5,S,spyregime,3,5,time5,IS,59,0.5254237288135594,0.007171881674407233,1.5225784256636763,6.983050847457627,0.01694915254237288,0.015235228632498155,-0.04782411645629858,0.3786330025900838,0.03531746031746032,-0.17566305036382665
S-spyregime-rsi3<5-time5,S,spyregime,3,5,time5,OOS,19,0.42105263157894735,-0.014310345578898457,0.4325831003366563,7.157894736842105,0.05263157894736842,-0.0076418866517651285,-0.031275738006123155,-0.4625305422043024,0.010256410256410256,-0.1316992859031781
S-spyregime-rsi3<10-sma5,S,spyregime,3,10,sma5,IS,240,0.6833333333333333,0.01290092029547226,2.206127616709602,5.104166666666667,0.05,0.06263521311995768,-0.09450916767997408,0.9446434330204301,0.08558201058201059,-0.2934766392097169
S-spyregime-rsi3<10-sma5,S,spyregime,3,10,sma5,OOS,64,0.453125,-0.016388681276483658,0.4342676778943009,6.515625,0.15625,-0.02516879060641586,-0.10190767238601428,-0.8863205690891527,0.029988851727982165,-0.1718198897791347
S-spyregime-rsi3<10-rsi,S,spyregime,3,10,rsi,IS,229,0.6200873362445415,0.010135487944498856,1.4729336779245397,9.244541484716157,0.10043668122270742,0.06200352111734131,-0.14179820005893629,0.7551419065588814,0.1322751322751323,-0.37801803283346874
S-spyregime-rsi3<10-rsi,S,spyregime,3,10,rsi,OOS,60,0.38333333333333336,-0.040124300979569226,0.24478469737403172,10.133333333333333,0.31666666666666665,-0.03861877986105722,-0.15416360739911505,-1.1113882390146899,0.03723522853957637,-0.1847565979773052
S-spyregime-rsi3<10-chan,S,spyregime,3,10,chan,IS,234,0.6153846153846154,0.01352644584969123,1.7369116082325298,9.551282051282051,0.08547008547008547,0.06839261692232013,-0.10481446945741035,0.8064147901687497,0.13994708994708996,-0.40053745527873635
